2026-03-10 1435,0,0001,0,30912,H2    ,245,30,118,252308,573,V,CO    ,677,40,120,38835,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1439,0,0001,0,30916,H2    ,245,30,116,262364,573,V,CO    ,673,42,120,66453,716,V,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1443,0,0001,0,30914,H2    ,246,30,132,258504,573,V,CO    ,681,40,120,47439,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1447,0,0001,0,30908,H2    ,246,30,120,258280,573,V,CO    ,684,54,142,82213,716,V,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1451,0,0001,0,30911,H2    ,245,30,134,277162,573,V,CO    ,678,54,142,72783,716,V,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1456,0,0001,0,30907,H2    ,247,36,122,245050,573,V,CO    ,681,40,120,48378,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1500,0,0001,0,30891,H2    ,245,30,114,246556,573,V,CO    ,673,40,136,80782,716,V,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1504,0,0001,0,30898,H2    ,245,30,162,266129,573,V,CO    ,673,40,120,38308,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1508,0,0001,0,30894,H2    ,246,30,134,238408,573,V,CO    ,668,40,120,49800,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1512,0,0001,0,30894,H2    ,246,38,130,258694,573,V,CO    ,677,40,120,48966,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1516,0,0001,0,30894,H2    ,245,36,106,240256,573,V,CO    ,686,40,120,38044,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1521,0,0001,0,30913,H2    ,245,42,106,180973,573,V,CO    ,674,40,120,27914,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1524,0,0001,0,30921,H2    ,245,34,110,172673,573,V,CO    ,678,40,120,9066,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                   
2026-03-10 1528,0,0001,0,30921,H2    ,245,36,175,224715,573,V,CO    ,685,40,120,41056,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1533,0,0001,0,30938,H2    ,245,62,110,179418,573,V,CO    ,672,40,120,18443,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1538,0,0001,0,30929,H2    ,245,36,110,152408,573,V,CO    ,693,40,120,21119,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
2026-03-10 1542,0,0001,0,30913,H2    ,245,38,108,161410,573,V,CO    ,683,40,120,13033,716,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                  
