2026-01-28 1412,0,0001,0,32116,H2    ,245,46,110,249598,593,V,CO    ,679,40,120,53824,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1416,0,0001,0,32106,H2    ,245,30,104,251517,593,V,CO    ,680,48,144,87039,114177,V,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1420,0,0001,0,32096,H2    ,246,30,150,272055,593,V,CO    ,688,40,120,39639,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1424,0,0001,0,32094,H2    ,245,40,134,282520,593,V,CO    ,690,40,120,48054,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1428,0,0001,0,32113,H2    ,245,30,94,248387,593,V,CO    ,675,50,120,56490,114177,V,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                
2026-01-28 1432,0,0001,0,32103,H2    ,245,56,128,225574,593,V,CO    ,680,40,120,48491,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1436,0,0001,0,32096,H2    ,245,30,102,224243,593,V,CO    ,681,40,120,30275,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1440,0,0001,0,32094,H2    ,246,30,102,225818,593,V,CO    ,680,40,120,45663,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1444,0,0001,0,32097,H2    ,245,46,104,229372,593,V,CO    ,674,44,124,68652,114177,V,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1447,0,0001,0,32100,H2    ,245,30,122,239114,593,V,CO    ,678,50,124,58388,114177,V,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1451,0,0001,0,32102,H2    ,245,50,114,262183,593,V,CO    ,688,48,122,73782,114177,V,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
